,report_date,report_source,ext_massacres_cum,killed,killed_cum,ext_killed,ext_killed_cum,ext_killed_children_cum,ext_killed_women_cum,injured_cum,ext_injured,ext_injured_cum,ext_civdef_killed_cum,med_killed_cum,ext_med_killed_cum,press_killed_cum,ext_press_killed_cum,killed_children_cum,killed_women_cum,injured,massacres_cum,civdef_killed_cum
110,2024-01-25,mohtel,2186,200.0,25900.0,200,25900,11000,7500,64110.0,370,64110,45,,337,,119,,,370.0,,
111,2024-01-26,mohtel,2205,183.0,26083.0,183,26083,11000,7500,64487.0,377,64487,45,,337,,119,,,377.0,,
112,2024-01-27,mohtel,2223,174.0,26257.0,174,26257,11000,7500,64797.0,310,64797,45,,337,120.0,120,,,310.0,,
113,2024-01-28,mohtel,2242,165.0,26422.0,165,26422,11000,7500,65087.0,290,65087,45,,337,,120,,,290.0,,
114,2024-01-29,mohtel,2256,215.0,26637.0,215,26637,11000,7500,65387.0,300,65387,45,,337,122.0,122,,,300.0,,
115,2024-01-30,mohtel,2269,114.0,26751.0,114,26751,11500,8000,65636.0,249,65636,46,339.0,339,122.0,122,11500.0,8000.0,249.0,2269.0,46.0
116,2024-01-31,mohtel,2285,149.0,26900.0,149,26900,11500,8000,65949.0,313,65949,46,,339,,122,,,313.0,,
117,2024-02-01,mohtel,2300,119.0,27019.0,119,27019,11500,8000,66139.0,190,66139,46,,339,,122,,,190.0,,
118,2024-02-02,mohtel,2313,112.0,27131.0,112,27131,11500,8000,66287.0,148,66287,46,,339,,122,,,148.0,,
119,2024-02-03,mohtel,2325,107.0,27238.0,107,27238,12000,8190,66452.0,165,66452,46,339.0,339,122.0,122,12000.0,8190.0,165.0,2325.0,46.0
120,2024-02-04,mohtel,2339,127.0,27365.0,127,27365,12000,8190,66630.0,178,66630,46,,339,,122,,,178.0,,
121,2024-02-05,mohtel,2352,113.0,27478.0,113,27478,12000,8190,66835.0,205,66835,46,,339,,122,,,205.0,,
122,2024-02-06,mohtel,2364,107.0,27585.0,107,27585,12000,8190,66978.0,143,66978,46,,339,,122,,,143.0,,
123,2024-02-07,mohtel,2380,123.0,27708.0,123,27708,12000,8190,67147.0,169,67147,46,,339,123.0,123,,,169.0,,
124,2024-02-08,mohtel,2395,132.0,27840.0,132,27840,12150,8300,67317.0,170,67317,46,340.0,340,124.0,124,12150.0,8300.0,170.0,2395.0,
125,2024-02-09,mohtel,2408,107.0,27947.0,107,27947,12150,8300,67459.0,142,67459,46,,340,,124,,,142.0,,
126,2024-02-10,mohtel,2424,117.0,28064.0,117,28064,12150,8300,67611.0,152,67611,46,,340,,124,,,152.0,,
127,2024-02-11,mohtel,2438,112.0,28176.0,112,28176,12300,8400,67784.0,173,67784,46,340.0,340,124.0,124,12300.0,8400.0,173.0,2438.0,46.0
128,2024-02-12,mohtel,2457,164.0,28340.0,164,28340,12300,8400,67984.0,200,67984,46,,340,126.0,126,,,200.0,,
129,2024-02-13,mohtel,2473,133.0,28473.0,133,28473,12300,8400,68146.0,162,68146,46,,340,,126,,,162.0,,
130,2024-02-14,mohtel,2484,103.0,28576.0,103,28576,12300,8400,68291.0,145,68291,46,,340,,126,,,145.0,,
131,2024-02-15,mohtel,2493,87.0,28663.0,87,28663,12300,8400,68395.0,104,68395,46,,340,,126,,,104.0,,
132,2024-02-16,mohtel,2503,112.0,28775.0,112,28775,12660,8570,68552.0,157,68552,46,340.0,340,130.0,130,12660.0,8570.0,157.0,2503.0,46.0
133,2024-02-17,mohtel,2512,83.0,28858.0,83,28858,12660,8570,68677.0,125,68677,46,340.0,340,130.0,130,12660.0,8570.0,125.0,2512.0,46.0
